CNAME,LENGTH,WEIGHT
Rainbow Trout,90,5.5
Rainbow Trout,95,7.5
Rainbow Trout,84,5
Rainbow Trout,88,7
Rainbow Trout,90,6.5
Rainbow Trout,86,5
Rainbow Trout,94,7.5
Rainbow Trout,85,5.5
Rainbow Trout,96,8.5
Rainbow Trout,107,14
Rainbow Trout,190,80
Rainbow Trout,153,44
Rainbow Trout,193,80
Rainbow Trout,179,70
Rainbow Trout,108,16
Rainbow Trout,105,15
Rainbow Trout,138,34
Rainbow Trout,154,48
Rainbow Trout,151,36
Rainbow Trout,105,12
Rainbow Trout,122,21
Rainbow Trout,160,50
Rainbow Trout,146,43
Rainbow Trout,138,29.5
Rainbow Trout,153,49
Rainbow Trout,104,12
Rainbow Trout,168,55
Rainbow Trout,118,20
Rainbow Trout,121,18
Rainbow Trout,44,1.5
Rainbow Trout,121,20
Rainbow Trout,110,14.5
Rainbow Trout,153,38.5
Rainbow Trout,125,24
Rainbow Trout,113,16
Rainbow Trout,142,37
Rainbow Trout,150,45
Rainbow Trout,124,21
Rainbow Trout,118,0
Rainbow Trout,106,0
Rainbow Trout,103,0
Rainbow Trout,134,0
Rainbow Trout,108,0
Rainbow Trout,172,60
Rainbow Trout,156,47
Rainbow Trout,142,31
Rainbow Trout,154,45.5
Rainbow Trout,109,14
Rainbow Trout,128,22
Rainbow Trout,145,37
Rainbow Trout,116,17
Rainbow Trout,148,33
Rainbow Trout,115,19.5
Rainbow Trout,140,36
Rainbow Trout,118,19.5
Rainbow Trout,88,8
Rainbow Trout,94,10
Rainbow Trout,100,11
Rainbow Trout,109,14
Rainbow Trout,103,14.5
Rainbow Trout,120,18.5
Rainbow Trout,122,18
Rainbow Trout,120,19.5
Rainbow Trout,109,15
Rainbow Trout,101,13
Rainbow Trout,102,13.5
Rainbow Trout,53,1.5
Rainbow Trout,53,1.5
Rainbow Trout,53,1.5
Rainbow Trout,55,2
Rainbow Trout,45,1
Rainbow Trout,54,1.5
Rainbow Trout,42,0.5
Rainbow Trout,54,2
Rainbow Trout,47,1
Rainbow Trout,43,0.5
Rainbow Trout,44,0
Rainbow Trout,47,0
Rainbow Trout,50,0
Rainbow Trout,53,0
Rainbow Trout,45,0
Rainbow Trout,45,0
Rainbow Trout,51,0
Rainbow Trout,47,0
Rainbow Trout,50,0
Rainbow Trout,43,0
Rainbow Trout,50,0
Rainbow Trout,51,0
Rainbow Trout,54,0
Rainbow Trout,160,48
Rainbow Trout,158,0
Rainbow Trout,148,0
Rainbow Trout,180,0
Rainbow Trout,100,0
Rainbow Trout,141,0
Rainbow Trout,120,0
Rainbow Trout,106,0
Rainbow Trout,132,0
Rainbow Trout,110,0
Rainbow Trout,120,0
Rainbow Trout,148,0
Rainbow Trout,132,0
Rainbow Trout,165,0
Rainbow Trout,137,0
Rainbow Trout,118,0
Rainbow Trout,140,0
Rainbow Trout,120,0
Rainbow Trout,131,0
Rainbow Trout,132,0
Rainbow Trout,145,0
Rainbow Trout,152,0
Rainbow Trout,122,0
Rainbow Trout,121,0
Rainbow Trout,117,0
Rainbow Trout,122,0
Rainbow Trout,115,0
Rainbow Trout,146,0
Rainbow Trout,167,0
Rainbow Trout,145,0
Rainbow Trout,161,0
Rainbow Trout,123,0
Rainbow Trout,108,0
Rainbow Trout,116,0
Rainbow Trout,104,0
Rainbow Trout,107,0
Rainbow Trout,121,0
Rainbow Trout,108,0
Rainbow Trout,114,0
Rainbow Trout,44,0
Rainbow Trout,109,0
Rainbow Trout,116,0
Rainbow Trout,121,0
Rainbow Trout,106,0
Rainbow Trout,95,0
Rainbow Trout,147,0
Rainbow Trout,120,0
Rainbow Trout,102,0
Rainbow Trout,131,0
Rainbow Trout,141,0
Rainbow Trout,163,0
Rainbow Trout,140,0
Rainbow Trout,115,0
Rainbow Trout,111,0
Rainbow Trout,112,0
Rainbow Trout,110,0
Rainbow Trout,103,0
Rainbow Trout,82,0
Rainbow Trout,110,0
Rainbow Trout,128,0
Rainbow Trout,51,0
Rainbow Trout,46,0
Rainbow Trout,113,0
Rainbow Trout,53,0
Rainbow Trout,116,0
Rainbow Trout,104,0
Rainbow Trout,114,0
Rainbow Trout,45,0
Rainbow Trout,56,0
Rainbow Trout,58,0
Rainbow Trout,130,0
Rainbow Trout,165,0
Rainbow Trout,142,0
Rainbow Trout,112,0
Rainbow Trout,127,0
Rainbow Trout,54,0
Rainbow Trout,19,0
Rainbow Trout,118,19
Rainbow Trout,135,0
Rainbow Trout,119,18
Rainbow Trout,159,50
Rainbow Trout,152,44
Rainbow Trout,178,65
Rainbow Trout,150,40
Rainbow Trout,133,27.5
Rainbow Trout,160,49
Rainbow Trout,171,55
Rainbow Trout,150,41
Rainbow Trout,150,36
Rainbow Trout,122,16.5
Rainbow Trout,105,14.5
Rainbow Trout,97,10.5
Rainbow Trout,107,16.5
Rainbow Trout,106,15
Rainbow Trout,103,12.5
Rainbow Trout,115,19
Rainbow Trout,150,40
Rainbow Trout,115,18.5
Rainbow Trout,156,40
Rainbow Trout,100,12
Rainbow Trout,105,16
Rainbow Trout,124,21
Rainbow Trout,96,11
Rainbow Trout,83,7
Rainbow Trout,103,13
Rainbow Trout,118,20.5
Rainbow Trout,105,13.5
Rainbow Trout,96,10
Rainbow Trout,102,12.5
Rainbow Trout,115,21
Rainbow Trout,105,12.5
Rainbow Trout,130,28.5
Rainbow Trout,145,36
Rainbow Trout,91,9
Rainbow Trout,120,18
Rainbow Trout,108,16
Rainbow Trout,120,20.5
Rainbow Trout,121,0
Rainbow Trout,115,0
Rainbow Trout,127,0
Rainbow Trout,100,0
Rainbow Trout,116,0
Rainbow Trout,139,0
Rainbow Trout,119,0
Rainbow Trout,100,0
Rainbow Trout,98,0
Rainbow Trout,106,0
Rainbow Trout,112,0
Rainbow Trout,99,0
Rainbow Trout,125,0
Rainbow Trout,196,80
Rainbow Trout,142,0
Rainbow Trout,107,0
Rainbow Trout,102,0
Rainbow Trout,109,0
Rainbow Trout,102,0
Rainbow Trout,105,0
Rainbow Trout,117,0
Rainbow Trout,118,0
Rainbow Trout,116,0
Rainbow Trout,105,0
Rainbow Trout,125,0
Rainbow Trout,100,0
Rainbow Trout,101,0
Rainbow Trout,109,0
Rainbow Trout,137,0
Rainbow Trout,100,0
Rainbow Trout,105,14.5
Rainbow Trout,90,8.5
Rainbow Trout,95,10
Rainbow Trout,112,17
Rainbow Trout,105,12.5
Rainbow Trout,101,11.5
Rainbow Trout,109,16
Rainbow Trout,107,15
Rainbow Trout,120,19
Rainbow Trout,103,13.5
Rainbow Trout,97,11
Rainbow Trout,156,0
Rainbow Trout,136,0
Rainbow Trout,190,75
Rainbow Trout,170,50
Rainbow Trout,150,0
Rainbow Trout,145,0
Rainbow Trout,141,32
Rainbow Trout,118,0
Rainbow Trout,115,0
Rainbow Trout,130,0
Rainbow Trout,137,0
Rainbow Trout,135,0
Rainbow Trout,130,0
Rainbow Trout,135,27
Rainbow Trout,148,34.5
Rainbow Trout,158,42
Rainbow Trout,160,50
Rainbow Trout,112,0
Rainbow Trout,103,12.5
Rainbow Trout,159,0
Rainbow Trout,120,0
Rainbow Trout,109,0
Rainbow Trout,95,13.5
Rainbow Trout,120,0
Rainbow Trout,143,29
Rainbow Trout,138,0
Rainbow Trout,133,0
Rainbow Trout,136,0
Rainbow Trout,103,11
Rainbow Trout,110,0
Rainbow Trout,140,30
Rainbow Trout,128,23
Rainbow Trout,153,42
Rainbow Trout,128,22.5
Rainbow Trout,147,32
Rainbow Trout,137,0
Rainbow Trout,118,16
Rainbow Trout,123,0
Rainbow Trout,135,0
Rainbow Trout,137,33
Rainbow Trout,128,24.5
Rainbow Trout,125,0
Rainbow Trout,88,0
Rainbow Trout,120,0
Rainbow Trout,145,37
Rainbow Trout,126,0
Rainbow Trout,105,0
Rainbow Trout,100,0
Rainbow Trout,95,0
Rainbow Trout,109,0
Rainbow Trout,108,0
Rainbow Trout,97,0
Rainbow Trout,112,0
Rainbow Trout,100,0
Rainbow Trout,84,0
Rainbow Trout,56,0
Rainbow Trout,55,0
Rainbow Trout,55,0
Rainbow Trout,64,0
Rainbow Trout,135,32
Rainbow Trout,145,31
Rainbow Trout,160,41.5
Rainbow Trout,125,23
Rainbow Trout,108,14
Rainbow Trout,122,22
Rainbow Trout,95,11
Rainbow Trout,61,3
Rainbow Trout,64,3
Rainbow Trout,126,23
Rainbow Trout,64,3
Rainbow Trout,91,11
Rainbow Trout,64,4
Rainbow Trout,101,12
Rainbow Trout,58,2
Rainbow Trout,37,0.5
Rainbow Trout,65,0
Rainbow Trout,86,8
Rainbow Trout,52,1.5
Rainbow Trout,50,1
Rainbow Trout,164,45.5
Rainbow Trout,66,0
Rainbow Trout,52,0
Rainbow Trout,52,0
Rainbow Trout,49,0
